ticker,company,cik,announced_date,announcement_url,deal_price,acquirer,consideration_notes,price_at_announcement,spread_at_announcement_pct,outcome,outcome_date,outcome_url,days_to_resolution,verified_by_hand,notes
,"Nuo Therapeutics, Inc.",1091596,2022-01-04,https://www.sec.gov/Archives/edgar/data/1091596/000143774922000240/,,,,,,PENDING,,,,,no terminal filing after 1671 days
DWSN,DAWSON GEOPHYSICAL CO,799165,2021-10-25,https://www.sec.gov/Archives/edgar/data/799165/000110465922004648/,2.34,Wilks Brothers,"tender offer, all cash. Row's date is the offer expiration; real announcement 2021-10-25. Price at announcement needs re-pull for that date.",2.23,4.93,CLOSED,3/24/2023,https://www.sec.gov/Archives/edgar/data/799165/000110465923036243/,430,y,8-K Item 2.01
,"Southwest Gas Holdings, Inc.",1692115,2021-10-12,https://www.sec.gov/Archives/edgar/data/1692115/000119312521296267/,,,not a merger - stockholder rights plan (poison pill) adopted Oct 2021,63.43,,CLOSED,1/13/2023,https://www.sec.gov/Archives/edgar/data/1692115/000087666123000048/,458,y,Form 25-NSE
TGNA,TEGNA INC,39899,2022-02-22,https://www.sec.gov/Archives/edgar/data/39899/000119312522076150/,24,Standard General,all cash. Row points at the March 10 amendment; real announcement is Feb 22 2022.,20.95,14.56,BROKEN,5/9/2022,https://www.sec.gov/Archives/edgar/data/39899/000119312522145032/,55,y,"termination language, add outcome date wrong - terminated May 2023, not 55 days in"
,"TherapeuticsMD, Inc.",25743,2022-06-03,https://www.sec.gov/Archives/edgar/data/25743/000156459022022465/,,,"bylaw amendment only, no price. Merger Agreement dated 2022-05-27 with Athene Parent Inc, cash tender offer. Announcement 8-K not",9.93,,CLOSED,1/3/2023,https://www.sec.gov/Archives/edgar/data/25743/000119312523000222/,214,y,8-K Item 2.01
,"Rubicon Technology, Inc.",1410172,2022-07-05,https://www.sec.gov/Archives/edgar/data/1410172/000121390022037059/,,,partial tender for 45% at $20.00 plus $11.00 special distribution. Not a full acquisition; shareholders retain equity.,15.05,,CLOSED,12/23/2022,https://www.sec.gov/Archives/edgar/data/1410172/000121390022082632/,171,y,Form 25
STCN,"Steel Connect, Inc.",914712,2022-06-13,https://www.sec.gov/Archives/edgar/data/914712/000121390022032357/,1.35,Steel Partner Holdings,"$1.35 cash plus CVR on ModusLink sale proceeds. CVR makes total consideration variable - excluded, consistent with TBPH handling.",1.21,11.57,CLOSED,1/2/2025,https://www.sec.gov/Archives/edgar/data/914712/000135445725000006/,934,y,Form 25-NSE
IRBT,IROBOT CORP,1159167,2022-08-05,https://www.sec.gov/Archives/edgar/data/1159167/000119312522213174/,61,Amazon,all cash,49.99,22.02,BROKEN,9/20/2022,https://www.sec.gov/Archives/edgar/data/1159167/000119312522247428/,46,y,termination language
,"Spirit Airlines, Inc.",1498710,2022-07-28,https://www.sec.gov/Archives/edgar/data/1498710/000119312522204192/,,,"row points at Frontier termination announcement. Real JetBlue deal: $33.50, announced 2022-07-28, terminated 2024-03-04. Outcome CLOSED is wrong - Form 25 came from Spirit's bankruptcy",25.66,,CLOSED,12/5/2024,https://www.sec.gov/Archives/edgar/data/1498710/000087666124001142/,861,y,Form 25-NSE
,"Inland Real Estate Income Trust, Inc.",1528985,2022-05-10,https://www.sec.gov/Archives/edgar/data/1528985/000156459022019164/,,,"not a merger - property purchase agreement, INRE acquiring eight retail properties",14.5,,CLOSED,5/20/2022,https://www.sec.gov/Archives/edgar/data/1528985/000156459022020829/,10,y,8-K Item 2.01
